    IMT         c0       AK_c0 Aleutian_c0 Cascadia_c0    CAM_N_c0    CAM_S_c0   JP_Pac_c0   JP_Phi_c0     SA_N_c0     SA_S_c0     TW_E_c0     TW_W_c0      c0slab   AK_c0slab Aleutian_c0slab Cascadia_c0slab  CAM_c0slab   JP_c0slab SA_N_c0slab SA_S_c0slab   TW_c0slab          c1      c1slab          b4          a0       AK_a0      CAM_a0       JP_a0       SA_a0       TW_a0      a0slab   AK_a0slab Cascadia_a0slab  CAM_a0slab   JP_a0slab   SA_a0slab   TW_a0slab          c4          c5          c6      c4slab      c5slab      c6slab           d           m          db          V2       JP_s1       TW_s1          s2       AK_s2 Cascadia_s2       JP_s2       SA_s2       TW_s2          f4      f4slab          f5        J_e1        J_e2        J_e3        C_e1        C_e2        C_e3    del_None del_Seattle         Tau       phi21       phi22       phi2V          VM   phi2S2S,0          a1    phi2SS,1    phi2SS,2          a2
    pgv   8.097000    9.283796    8.374796    7.728000    7.046900    7.046900    8.772126    7.579126    8.528671    8.679671    7.559846    7.559846   13.194000   12.790000   13.600000   12.874000   12.810000   13.248000   12.754000   12.927000   13.516000   -1.661000   -2.422000    0.100000   -0.003950   -0.004040   -0.001530   -0.002390   -0.000311   -0.005140   -0.001900   -0.002380   -0.001090   -0.001920   -0.002150   -0.001920   -0.003660    1.336000   -0.039000    1.844000    1.840000   -0.050000    0.800000    0.269300    0.025200   67.000000 3868.617587   -0.738000   -0.454000   -0.305487   -1.031000   -0.671000   -0.738000   -0.681000   -0.590000   -0.317630   -0.317630   -0.005200   -0.137000    0.137000    0.091000    0.000000    0.115000    0.068000   -0.115000    0.000000    0.477000    0.348000    0.288000   -0.179000  423.000000    0.142000    0.047000    0.153000    0.166000    0.011000
    pga   4.082000    4.458796    3.652796    3.856000    2.875900    2.875900    5.373126    4.309126    5.064671    5.198671    3.032846    3.032846    9.907000    9.404000    9.912000    9.600000    9.580000   10.145000    9.254000    9.991000   10.071000   -1.662000   -2.543000    0.100000   -0.006570   -0.005410   -0.003870   -0.008620   -0.003970   -0.007870   -0.002550   -0.002270   -0.003540   -0.002380   -0.003350   -0.002380   -0.003620    1.246000   -0.021000    1.128000    1.840000   -0.050000    0.400000    0.300400    0.031400   67.000000  920.512384   -0.586000   -0.440000   -0.839905   -0.785000   -0.572000   -0.586000   -0.333000   -0.440000   -0.441690   -0.441690   -0.005200    0.000000    0.000000    1.000000    0.000000    0.000000    1.000000    0.000000    0.000000    0.480000    0.396000    0.565000   -0.180000  423.000000    0.221000    0.093000    0.149000    0.327000    0.068000
  0.010   3.714000    4.094796    3.288796    3.488000    2.564900    2.564900    5.022126    3.901126    4.673671    4.807671    2.636846    2.636846    9.962000    9.451000    9.954000    9.802000    9.612000   10.162000    9.293000    9.994000   10.174000   -1.587000   -2.554000    0.100000   -0.006570   -0.005410   -0.003870   -0.008620   -0.003970   -0.007870   -0.002550   -0.002190   -0.004010   -0.002170   -0.003110   -0.002170   -0.003550    1.246000   -0.021000    1.128000    1.840000   -0.050000    0.400000    0.283900    0.029600   67.000000 1300.000000   -0.604000   -0.440000   -0.498000   -0.803000   -0.571000   -0.604000   -0.333000   -0.440000   -0.485900   -0.485900   -0.005200    0.000000    0.000000    1.000000    0.000000    0.000000    1.000000    0.000000    0.000000    0.476000    0.397000    0.560000   -0.180000  423.000000    0.223000    0.098000    0.148000    0.294000    0.071000
  0.020   3.762000    4.132796    3.338796    3.536000    2.636900    2.636900    5.066126    3.935126    4.694671    4.827671    2.698846    2.698846   10.099000    9.587000   10.086000    9.933000    9.771000   10.306000    9.403000   10.152000   10.273000   -1.593000   -2.566000    0.100000   -0.006570   -0.005410   -0.003870   -0.008620   -0.003970   -0.007870   -0.002550   -0.002190   -0.004010   -0.002170   -0.003110   -0.002170   -0.003550    1.227000   -0.021000    1.128000    1.884000   -0.050000    0.415000    0.285400    0.029800   67.000000 1225.000000   -0.593000   -0.458000   -0.478000   -0.785000   -0.575000   -0.593000   -0.345000   -0.458000   -0.485900   -0.485900   -0.005180    0.000000    0.000000    1.000000    0.000000    0.000000    1.000000    0.000000    0.000000    0.482000    0.401000    0.563000   -0.181000  423.000000    0.227000    0.105000    0.149000    0.294000    0.073000
  0.030   4.014000    4.386796    3.535796    3.788000    2.890900    2.890900    5.317126    4.278126    4.935671    5.066671    2.926846    2.926846   10.311000    9.808000   10.302000   10.133000    9.993000   10.498000    9.592000   10.459000   10.451000   -1.630000   -2.594000    0.100000   -0.006570   -0.005410   -0.003870   -0.008620   -0.003970   -0.007870   -0.002550   -0.002190   -0.004010   -0.002170   -0.003110   -0.002170   -0.003550    1.215000   -0.021000    1.128000    1.884000   -0.050000    0.445000    0.293200    0.030600   67.000000 1200.000000   -0.539000   -0.455000   -0.446000   -0.690000   -0.565000   -0.561000   -0.380000   -0.464000   -0.490800   -0.490800   -0.005110    0.000000    0.000000    1.000000    0.000000    0.000000    1.000000    0.000000    0.000000    0.500000    0.413000    0.589000   -0.188000  423.000000    0.239000    0.145000    0.153000    0.313000    0.077000
  0.050   4.456000    4.745796    3.959796    4.230000    3.287900    3.287900    5.843126    4.816126    5.457671    5.586671    3.236846    3.236846   10.824000   10.379000   10.862000   10.634000   10.563000   10.981000   10.027000   11.102000   10.860000   -1.687000   -2.649000    0.100000   -0.006570   -0.005410   -0.003870   -0.008620   -0.003970   -0.007870   -0.002550   -0.002190   -0.004010   -0.002170   -0.003110   -0.002170   -0.003550    1.201000   -0.021000    1.128000    1.884000   -0.050000    0.475000    0.304800    0.031600   67.000000  605.000118   -0.403000   -0.452000   -1.942634   -0.594000   -0.519000   -0.461000   -0.427000   -0.468000   -0.498230   -0.498230   -0.004970    0.000000    0.000000    1.000000    0.100000   -0.100000   -0.063000   -0.050000    0.000000    0.528000    0.473000    0.653000   -0.230000  423.000000    0.285000    0.200000    0.167000    0.330000    0.077000
  0.075   4.742000    4.972796    4.231796    4.516000    3.560900    3.560900    6.146126    5.126126    5.788671    5.917671    3.446846    3.446846   11.084000   10.650000   11.184000   10.888000   10.785000   11.250000   10.265000   11.424000   11.093000   -1.715000   -2.650000    0.100000   -0.006570   -0.005410   -0.003870   -0.008620   -0.003970   -0.007870   -0.002550   -0.002190   -0.004010   -0.002170   -0.003110   -0.002170   -0.003550    1.190000   -0.021000    1.128000    1.884000   -0.050000    0.490000    0.299200    0.032100   67.000000  538.000008   -0.325000   -0.456000   -1.267990   -0.586000   -0.497000   -0.452000   -0.458000   -0.473000   -0.497240   -0.497240   -0.004890    0.050000   -0.043000   -0.025000    0.300000   -0.340000   -0.200000   -0.075000    0.078000    0.530000    0.529000    0.722000   -0.262000  423.000000    0.339000    0.205000    0.184000    0.299000    0.063000
  0.100   4.952000    5.160796    4.471796    4.726000    3.788900    3.788900    6.346126    5.333126    5.998671    6.126671    3.643846    3.643846   11.232000   10.816000   11.304000   11.030000   10.841000   11.466000   10.467000   11.490000   11.283000   -1.737000   -2.647000    0.100000   -0.006570   -0.005410   -0.003870   -0.008620   -0.003970   -0.007870   -0.002550   -0.002190   -0.004010   -0.002170   -0.003110   -0.002170   -0.003550    1.182000   -0.021000    1.128000    1.884000   -0.050000    0.505000    0.285400    0.032000   67.000000  834.126307   -0.264000   -0.468000   -1.088713   -0.629000   -0.486000   -0.498000   -0.490000   -0.482000   -0.494710   -0.494710   -0.004780    0.100000   -0.085000   -0.050000    0.333000   -0.377000   -0.222000   -0.081000    0.075000    0.524000    0.517000    0.712000   -0.239000  423.000000    0.347000    0.185000    0.176000    0.310000    0.061000
  0.150   5.080000    5.285796    4.665796    4.848000    3.945900    3.945900    6.425126    5.420126    6.103671    6.230671    3.798846    3.798846   11.311000   10.883000   11.402000   11.103000   10.809000   11.619000   10.566000   11.320000   11.503000   -1.745000   -2.634000    0.100000   -0.006570   -0.005410   -0.003870   -0.008620   -0.003970   -0.007870   -0.002550   -0.002190   -0.004010   -0.002170   -0.003110   -0.002170   -0.003550    1.171000   -0.021000    1.162000    1.884000   -0.060000    0.520000    0.281400    0.032500   67.000000  558.601030   -0.250000   -0.484000   -1.347175   -0.729000   -0.499000   -0.568000   -0.536000   -0.499000   -0.485830   -0.485830   -0.004600    0.164000   -0.139000   -0.082000    0.290000   -0.290000   -0.193000   -0.091000    0.064000    0.510000    0.457000    0.644000   -0.185000  423.000000    0.313000    0.123000    0.164000    0.307000    0.076000
  0.200   5.035000    5.277796    4.661796    4.798000    3.943900    3.943900    6.288126    5.289126    6.013671    6.140671    3.827846    3.827846   11.055000   10.633000   11.183000   10.841000   10.519000   11.351000   10.330000   10.927000   11.320000   -1.732000   -2.583000    0.100000   -0.006570   -0.005410   -0.003870   -0.008620   -0.003970   -0.007870   -0.002550   -0.002190   -0.004010   -0.002170   -0.003110   -0.002170   -0.003550    1.163000   -0.021000    1.187000    1.884000   -0.068000    0.535000    0.291000    0.030600   67.000000  605.000012   -0.288000   -0.498000   -1.341523   -0.867000   -0.533000   -0.667000   -0.584000   -0.522000   -0.473830   -0.473830   -0.004340    0.164000   -0.139000   -0.082000    0.177000   -0.192000   -0.148000   -0.092000    0.075000    0.501000    0.432000    0.640000   -0.138000  423.000000    0.277000    0.110000    0.163000    0.301000    0.070000
  0.250   4.859000    5.154796    4.503796    4.618000    3.800900    3.800900    5.972126    4.979126    5.849671    5.974671    3.765846    3.765846   10.803000   10.322000   10.965000   10.583000   10.268000   11.063000   10.124000   10.555000   11.147000   -1.696000   -2.539000    0.100000   -0.006570   -0.005410   -0.003870   -0.008620   -0.003970   -0.007870   -0.002550   -0.002190   -0.004010   -0.002170   -0.003110   -0.002170   -0.003550    1.156000   -0.021000    1.204000    1.884000   -0.075000    0.550000    0.275800    0.030600   67.000000  604.999930   -0.360000   -0.511000   -1.387303   -1.011000   -0.592000   -0.781000   -0.654000   -0.555000   -0.476960   -0.476960   -0.004020    0.080000   -0.080000   -0.053000    0.100000   -0.035000   -0.054000    0.000000    0.000000    0.492000    0.450000    0.633000   -0.185000  423.000000    0.260000    0.119000    0.169000    0.233000    0.077000
  0.300   4.583000    4.910796    4.276796    4.340000    3.491900    3.491900    5.582126    4.592126    5.603671    5.728671    3.602846    3.602846   10.669000   10.116000   10.870000   10.443000   10.134000   10.878000   10.077000   10.328000   11.079000   -1.643000   -2.528000    0.100000   -0.006570   -0.005410   -0.003870   -0.008620   -0.003970   -0.007870   -0.002550   -0.002190   -0.004010   -0.002170   -0.003110   -0.002170   -0.003550    1.151000   -0.021000    1.215000    1.884000   -0.082000    0.565000    0.271900    0.032300   67.000000  589.790784   -0.455000   -0.514000   -1.344229   -1.133000   -0.681000   -0.867000   -0.725000   -0.596000   -0.484500   -0.484500   -0.003700    0.000000    0.000000    1.000000    0.000000    0.000000    1.000000    0.000000    0.000000    0.492000    0.436000    0.584000   -0.158000  423.000000    0.254000    0.092000    0.159000    0.220000    0.065000
  0.400   4.180000    4.548796    3.919796    3.935000    3.128900    3.128900    5.091126    4.089126    5.151671    5.277671    3.343846    3.343846   10.116000    9.561000   10.411000    9.884000    9.598000   10.296000    9.539000    9.639000   10.547000   -1.580000   -2.452000    0.100000   -0.006570   -0.005410   -0.003870   -0.008620   -0.003970   -0.007870   -0.002550   -0.002190   -0.004010   -0.002170   -0.003110   -0.002170   -0.003550    1.143000   -0.022000    1.227000    1.884000   -0.091000    0.580000    0.253900    0.030200   67.000000  587.334695   -0.617000   -0.510000   -1.110239   -1.238000   -0.772000   -0.947000   -0.801000   -0.643000   -0.481050   -0.481050   -0.003420   -0.130000    0.113000    0.087000    0.000000    0.050000    0.200000    0.000000    0.000000    0.492000    0.433000    0.556000   -0.190000  423.000000    0.230000    0.044000    0.158000    0.222000    0.064000
  0.500   3.752000    4.168796    3.486796    3.505000    2.640900    2.640900    4.680126    3.571126    4.719671    4.848671    3.028846    3.028846    9.579000    8.973000    9.901000    9.341000    9.097000    9.711000    9.030000    9.030000   10.049000   -1.519000   -2.384000    0.100000   -0.006570   -0.005410   -0.003870   -0.008620   -0.003970   -0.007870   -0.002550   -0.002190   -0.004010   -0.002170   -0.003110   -0.002170   -0.003550    1.143000   -0.023000    1.234000    1.884000   -0.100000    0.595000    0.248200    0.029500   67.000000  574.717064   -0.757000   -0.506000   -0.867564   -1.321000   -0.838000   -1.003000   -0.863000   -0.689000   -0.464920   -0.464920   -0.003220   -0.200000    0.176000    0.118000    0.000000    0.100000    0.200000    0.000000    0.000000    0.492000    0.428000    0.510000   -0.186000  423.000000    0.225000    0.038000    0.160000    0.243000    0.044000
  0.750   3.085000    3.510796    2.710796    2.837000    1.987900    1.987900    3.906126    2.844126    3.995671    4.129671    2.499846    2.499846    8.837000    8.246000    9.335000    8.593000    8.324000    8.934000    8.258000    8.258000    9.327000   -1.440000   -2.338000    0.100000   -0.006350   -0.004780   -0.003420   -0.007630   -0.003510   -0.006800   -0.002110   -0.001890   -0.003470   -0.001880   -0.002690   -0.001880   -0.003070    1.217000   -0.026000    1.240000    1.884000   -0.115000    0.610000    0.222700    0.026600   67.000000  604.999725   -0.966000   -0.500000   -0.484668   -1.383000   -0.922000   -1.052000   -0.942000   -0.745000   -0.434390   -0.434390   -0.003120   -0.401000    0.284000    0.167000    0.000000    0.200000    0.125000   -0.200000    0.012000    0.492000    0.448000    0.471000   -0.177000  422.000000    0.218000    0.040000    0.175000    0.241000    0.040000
  1.000   2.644000    3.067796    2.238796    2.396000    1.553900    1.553900    3.481126    2.371126    3.512671    3.653671    2.140846    2.140846    8.067000    7.507000    8.680000    7.817000    7.557000    8.164000    7.467000    7.417000    8.504000   -1.419000   -2.267000    0.100000   -0.005800   -0.004150   -0.002970   -0.006630   -0.003050   -0.006050   -0.001870   -0.001680   -0.003090   -0.001670   -0.002390   -0.001670   -0.002730    1.270000   -0.028000    1.240000    1.884000   -0.134000    0.625000    0.196900    0.023100   67.000000  604.989699   -0.986000   -0.490000   -0.365585   -1.414000   -0.932000   -1.028000   -0.960000   -0.777000   -0.384840   -0.384840   -0.003100   -0.488000    0.346000    0.203000    0.000000    0.245000    0.153000   -0.245000    0.037000    0.492000    0.430000    0.430000   -0.166000  422.000000    0.227000    0.015000    0.195000    0.195000    0.043000
  1.500   2.046000    2.513796    1.451796    1.799000    0.990900    0.990900    2.870126    1.779126    2.875671    3.023671    1.645846    1.645846    6.829000    6.213000    7.581000    6.573000    6.350000    6.896000    6.220000    6.180000    7.204000   -1.400000   -2.166000    0.100000   -0.005050   -0.003420   -0.002450   -0.005460   -0.002520   -0.004980   -0.001540   -0.001390   -0.002540   -0.001380   -0.001970   -0.001380   -0.002250    1.344000   -0.031000    1.237000    1.884000   -0.154000    0.640000    0.145200    0.011800   67.000000  604.998656   -0.966000   -0.486000   -0.236900   -1.430000   -0.814000   -0.971000   -0.942000   -0.790000   -0.323180   -0.323180   -0.003100   -0.578000    0.480000    0.240000    0.000000    0.320000    0.200000   -0.320000    0.064000    0.492000    0.406000    0.406000   -0.111000  422.000000    0.244000   -0.047000    0.204000    0.204000   -0.034000
  2.000   1.556000    2.061796    0.906796    1.310000    0.534900    0.534900    2.507126    1.293126    2.327671    2.481671    1.217846    1.217846    5.871000    5.206000    6.671000    5.609000    5.434000    5.935000    5.261000    5.161000    6.227000   -1.391000   -2.077000    0.100000   -0.004290   -0.002900   -0.002080   -0.004630   -0.002140   -0.004230   -0.001310   -0.001180   -0.002160   -0.001170   -0.001670   -0.001170   -0.001910    1.396000   -0.034000    1.232000    1.884000   -0.154000    0.655000    0.060000    0.007000   67.000000  599.831889   -0.901000   -0.475000   -0.139993   -1.421000   -0.725000   -0.901000   -0.891000   -0.765000   -0.265770   -0.265770   -0.003100   -0.645000    0.579000    0.254000    0.000000    0.370000    0.239000   -0.280000    0.140000    0.492000    0.393000    0.393000    0.000000  422.000000    0.231000   -0.036000    0.196000    0.196000   -0.036000
  3.000   0.920000    1.456796    0.099796    0.675000   -0.087100   -0.087100    1.969126    0.607126    1.766671    1.932671    0.596846    0.596846    4.830000    4.206000    5.667000    4.556000    4.441000    4.849000    4.176000    4.076000    5.157000   -1.416000   -2.012000    0.100000   -0.003210   -0.002170   -0.001560   -0.003470   -0.001600   -0.003160   -0.000979   -0.000880   -0.001610   -0.000873   -0.001250   -0.000873   -0.001430    1.470000   -0.038000    1.223000    1.949000   -0.154000    0.685000    0.000000    0.000000    0.000000  599.831889   -0.751000   -0.428000   -0.139993   -1.343000   -0.570000   -0.751000   -0.787000   -0.675000    0.000000   -0.178070   -0.003100   -0.772000    0.635000    0.265000    0.000000    0.430000    0.287000   -0.355000    0.165000    0.492000    0.367000    0.367000    0.000000  419.000000    0.199000   -0.030000    0.177000    0.177000   -0.011000
  4.000   0.595000    1.207796   -0.356204    0.352000   -0.353100   -0.353100    1.675126    0.303126    1.524671    1.698671    0.268846    0.268846    4.173000    3.517000    4.970000    3.893000    3.849000    4.074000    3.495000    3.445000    4.550000   -1.452000   -1.989000    0.100000   -0.002440   -0.001650   -0.001180   -0.002640   -0.001220   -0.002410   -0.000745   -0.000670   -0.001230   -0.000664   -0.000952   -0.000664   -0.001090    1.523000   -0.044000    1.216000    2.031000   -0.154000    0.700000    0.000000    0.000000    0.000000  599.831889   -0.680000   -0.396000   -0.139993   -1.297000   -0.489000   -0.680000   -0.706000   -0.613000    0.000000   -0.137290   -0.003100   -0.699000    0.709000    0.259000    0.000000    0.440000    0.303000   -0.417000    0.163000    0.492000    0.330000    0.330000    0.000000  416.000000    0.191000   -0.042000    0.158000    0.158000    0.033000
  5.000   0.465000    1.131796   -0.601204    0.223000   -0.491100   -0.491100    1.601126    0.183126    1.483671    1.665671    0.014846    0.014846    3.833000    3.142000    4.592000    3.547000    3.502000    3.814000    3.038000    3.038000    4.229000   -1.504000   -1.998000    0.100000   -0.001600   -0.001250   -0.000895   -0.002000   -0.000919   -0.001820   -0.000564   -0.000507   -0.000929   -0.000503   -0.000720   -0.000503   -0.000822    1.564000   -0.048000    1.210000    2.131000   -0.154000    0.715000    0.000000    0.000000    0.000000  599.831889   -0.592000   -0.353000   -0.139993   -1.233000   -0.421000   -0.592000   -0.621000   -0.536000    0.000000   -0.077330   -0.003100   -0.642000    0.630000    0.215000    0.000000    0.450000    0.321000   -0.450000    0.132000    0.492000    0.298000    0.298000    0.000000  415.000000    0.181000    0.005000    0.132000    0.132000    0.014000
  7.500   0.078000    0.758796   -1.137204   -0.162000   -0.837100   -0.837100    1.270126   -0.143874    1.175671    1.366671   -0.446154   -0.446154    3.132000    2.391000    3.650000    2.840000    2.821000    3.152000    2.368000    2.368000    3.554000   -1.569000   -2.019000    0.100000   -0.000766   -0.000519   -0.000371   -0.000828   -0.000382   -0.000755   -0.000234   -0.000210   -0.000385   -0.000209   -0.000299   -0.000209   -0.000341    1.638000   -0.059000    1.200000    2.185000   -0.154000    0.730000    0.000000    0.000000    0.000000  599.831889   -0.494000   -0.311000   -0.139993   -1.147000   -0.357000   -0.520000   -0.520000   -0.444000    0.000000   -0.054430   -0.003100   -0.524000    0.306000    0.175000    0.000000    0.406000    0.312000   -0.350000    0.150000    0.492000    0.254000    0.254000    0.000000  419.000000    0.181000   -0.016000    0.113000    0.113000    0.016000
 10.000   0.046000    0.708796   -1.290204   -0.193000   -0.864100   -0.864100    1.364126   -0.195874    1.271671    1.462671   -0.473154   -0.473154    2.720000    2.031000    2.950000    2.422000    2.408000    2.791000    1.939000    1.939000    3.166000   -1.676000   -2.047000    0.100000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    1.690000   -0.067000    1.194000    2.350000   -0.154000    0.745000    0.000000    0.000000    0.000000  599.831889   -0.395000   -0.261000   -0.139993   -1.060000   -0.302000   -0.395000   -0.420000   -0.352000    0.000000   -0.033130   -0.003100   -0.327000    0.182000    0.121000    0.000000    0.345000    0.265000   -0.331000    0.117000    0.492000    0.231000    0.231000    0.000000  427.000000    0.181000    0.040000    0.110000    0.110000    0.017000